UF,estado,Código,População estimada - pessoas [2021],Densidade demográfica [2010],Matrículas no ensino fundamental[2020],IDH[2010],balanco_financeiro- R$ (×1000) [2017],Rendimento mensal domiciliar per capita - R$ [2021],Total de veículos - veículos [2021]
Acre,AC,12,906876,"4,47",156679,"0,663","548466,30206",888,320173
Alagoas,AL,27,3365351,"112,33",464704,"0,631","1489803,54304",777,981823
Amapá,AP,16,877613,"4,69",134820,"0,708","1171953,05642",855,224208
Amazonas,AM,13,4269995,"2,23",700104,"0,674","2003562,87697",800,1014026
Bahia,BA,29,14985284,"24,82",1947177,"0,66","4620843,23672",843,4695972
Ceará,CE,23,9240580,"56,76",1165368,"0,682","3811870,28915",881,3513199
Distrito Federal,DF,53,3094325,"444,66",373032,"0,824","1821746,58584",2513,1979698
Espírito Santo,ES,32,4108508,"76,25",501920,"0,74","5293278,74188",1295,2160432
Goiás,GO,52,7206589,"17,65",861291,"0,735","13636954,82615",1276,4369349
Maranhão,MA,21,7153262,"19,81",1123973,"0,639","876090,599169999",635,1940475
Mato Grosso,MT,51,3567234,"3,36",477717,"0,725","5771165,56579",1362,2443785
Mato Grosso do Sul,MS,50,2839188,"6,86",392015,"0,729","1889740,39608",1471,1764689
Minas Gerais,MG,31,21411923,"33,41",2462047,"0,731","-1191846,00707001",1325,12503229
Pará,PA,15,8777124,"6,07",1394011,"0,646","3315976,05907",847,2352727
Paraíba,PB,25,4059905,"66,7",538748,"0,658","3022305,27662",876,1470901
Paraná,PR,41,11597484,"52,4",1407978,"0,749","4629173,14763",1541,8339982
Pernambuco,PE,26,9674793,"89,62",1267292,"0,673","2425542,52657",829,3334479
Piauí,PI,22,3289290,"12,4",458077,"0,646","2447479,29676",837,1338918
Rio de Janeiro,RJ,33,17463349,"365,23",1967998,"0,761","10522592,09105",1724,7296355
Rio Grande do Norte,RN,24,3560903,"59,99",448764,"0,684","2196595,17826",1109,1444307
Rio Grande do Sul,RS,43,11466630,"37,96",1269309,"0,746","3921188,83551",1787,7689278
Rondônia,RO,11,1815278,"6,58",252638,"0,69","2036780,70625",1023,1113279
Roraima,RR,14,652713,"2,01",104202,"0,707","401224,27646",1046,250675
Santa Catarina,SC,42,7338473,"65,27",876392,"0,774","9101669,4416",1718,5786199
São Paulo,SP,35,46649132,"166,23",5414208,"0,783","840252,87529999",1836,31455473
Sergipe,SE,28,2338474,"94,36",322614,"0,665","1650119,75359",929,871776
Tocantins,TO,17,1607363,"4,98",235752,"0,699","1375642,57452",1028,791463
